phenotype1	phenotype2	lin
Transverse vaginal septum	Talipes equinovalgus	4.982193529809303e-05
Prominent nasal bridge	Leukopenia	7.667711943081508e-05
Hypocalcemic seizures	Difficulty standing	5.08325315417379e-05
Hemoptysis	Steppage gait	6.24858740162936e-05
Exaggerated startle response	Intrahepatic bile duct cysts	4.787715215794353e-05
Laryngeal atresia	Synovitis	4.513091349926087e-05
Intestinal lymphangiectasia	Decreased cervical spine mobility	4.384100649655963e-05
Septic arthritis	Eyelid myoclonus	5.035839919835104e-05
Increased total bilirubin	Increased urine succinate level	0.16294147259678096
Hypoplastic nasal bridge	Fusion of the cerebellar hemispheres	4.2520165072717376e-05
Agenesis of cerebellar vermis	Discoid lupus rash	5.34030760017027e-05
Bridged sella turcica	Pes valgus	5.068044793030368e-05
Pulmonary artery aneurysm	Cervical hemivertebrae	4.433252921306609e-05
Hyponatremia	Phalangeal dislocation	5.216739542997225e-05
Generalized hyperreflexia	Uncontrolled eye movements	4.1527089114850486e-05
Exaggerated startle response	Hemolytic-uremic syndrome	5.694530901968731e-05
Hemolytic-uremic syndrome	Polyarticular arthritis	5.398937804600152e-05
Tracheoesophageal fistula	Restricted large joint movement	4.7365940235228194e-05
Increased hematocrit	Perifollicular hyperkeratosis	4.5466147121112386e-05
Enlarged vertebral pedicles	Posterior plagiocephaly	0.12360842693562793
Duplication of internal organs	Decreased thyroid-stimulating hormone level	4.754448578692532e-05
Anodontia	Hyperuricemia	5.908549590974314e-05
Mandibular hyperostosis	Accumulation of muscle fiber desmin	0.11804031121848545
Long foot	Narrow maxilla	5.27797715776623e-05
Cervical C2/C3 vertebral fusion	Congenital knee dislocation	0.2620380318302638
Microcornea	Congenital craniofacial dysostosis	0.00015264931277350578
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	Hemiballismus	4.2520165072717376e-05
Duplicated collecting system	Facial flushing after alcohol intake	4.803278487698834e-05
Isosexual precocious puberty	Dermatochalasis	7.98654433909015e-05
Sensory ataxic neuropathy	Basilar impression	4.697961363490384e-05
Decreased platelet glycoprotein IIb-IIIa	Broad ischia	4.513091349926087e-05
Increased serum serotonin	Oropharyngeal squamous cell carcinoma	4.676934355271362e-05
Oral leukoplakia	Congenital exfoliative erythroderma	4.818212141725109e-05
Frontal release signs	Increased number of skin folds	4.384100649655963e-05
Glossoptosis	Increased red cell hemolysis by shear stress	4.697961363490384e-05
High forehead	Convergence excess esotropia	5.608093650033667e-05
Congenital kyphoscoliosis	Enlarged labia minora	4.2520165072717376e-05
Parathyroid hyperplasia	Subperiosteal bone formation	4.63062709617351e-05
Severe short stature	Recurrent aphthous stomatitis	6.57765929074258e-05
Mild postnatal growth retardation	Atypical absence seizure	5.3190049680399243e-05
Decreased beta-glucocerebrosidase level	Bilateral vestibular schwannoma	4.1527089114850486e-05
Male hypogonadism	Gastroesophageal reflux	7.059496710805855e-05
Intellectual disability, profound	Meningoencephalocele	0.08229543124219399
Developmental cataract	Decreased activity of mitochondrial ATP synthase complex	6.366469351937655e-05
Syringomyelia	Hypovolemic shock	0.00011639875847926845
Severe short stature	Absent humerus	0.00015766630997334413
Patent foramen ovale	Laryngeal atresia	5.633950201869397e-05
Femoral retroversion	Cerebellar agenesis	4.7178026931581885e-05
Periventricular leukomalacia	Periodic hyperkalemic paralysis	0.07921980139778222
Ocular hypertension	Spondylitis	4.771461865001634e-05
Narrow foot	Glutaric aciduria	4.9202003447767416e-05
Type B brachydactyly	Abnormality of central somatosensory evoked potentials	4.433252921306609e-05
Ulnar bowing	Pulp calcification	5.434348495495776e-05
Striae distensae	Expressive aphasia	5.035839919835104e-05
Calcification of the auricular cartilage	Small, conical teeth	4.1527089114850486e-05
Pituitary corticotropic cell adenoma	Bronchospasm	4.1527089114850486e-05
Positive Romberg sign	Mixed respiratory and metabolic acidosis	4.697961363490384e-05
Recurrent thrombophlebitis	Functional intestinal obstruction	4.384100649655963e-05
Nasal speech	Decreased activity of the pyruvate dehydrogenase complex	5.996261860250943e-05
Congenital exfoliative erythroderma	Bronchial wall thickening	4.433252921306609e-05
Mitral regurgitation	Uterine rupture	5.282722589173774e-05
Decreased serum leptin	Sparse facial hair	4.577027209409902e-05
Gastroesophageal reflux	Severe sensorineural hearing impairment	6.373818378732289e-05
Small anterior fontanelle	Cortical tubers	4.754448578692532e-05
Long palpebral fissure	Decreased miniature endplate potentials	5.624696041050741e-05
Respiratory paralysis	Impaired renal uric acid clearance	4.325406564155514e-05
Lack of spontaneous play	Thin toenail	4.63062709617351e-05
Primary amenorrhea	Cystocele	0.2875412694850173
Mild conductive hearing impairment	Superior rectus atrophy	8.650813128311028e-05
Decreased circulating total IgM	Mildly elevated creatine kinase	0.22901990787637083
Corneal crystals	Anti-myeloperoxidase antibody positivity	4.2520165072717376e-05
Peripheral axonal atrophy	Recurrent sinopulmonary infections	5.139110160925746e-05
Frontal release signs	Steatocystoma multiplex	4.7877152157943535e-05
Recurrent Aspergillus infections	Elevated diastolic blood pressure	4.325406564155514e-05
Laryngeal stridor	Macroscopic hematuria	4.433252921306609e-05
Hypoplastic pulmonary veins	Hypoglycemic encephalopathy	4.2520165072717376e-05
Genital ulcers	Blepharochalasis	4.5466147121112386e-05
Hypohidrotic ectodermal dysplasia	Tortuous lymphatic vessels	4.384100649655963e-05
Sloping forehead	Limb apraxia	0.00015885756598827888
Tongue telangiectasia	Absence seizure with eyelid myoclonia	4.2520165072717376e-05
Neurofibrillary tangles	Agenesis of pulmonary vessels	4.717802693158188e-05
Recurrent Haemophilus influenzae infections	Fourth heart sound	4.1527089114850486e-05
Wide mouth	Acute respiratory distress syndrome	5.8858450102199305e-05
Intellectual disability, mild	Increased VLDL cholesterol concentration	6.74330779853517e-05
C2-C3 subluxation	Morbilliform rash	3.993272169545075e-05
Peters anomaly	Episodic hyperhidrosis	5.164509580017892e-05
Bronchiectasis	Vocal tremor	5.398937804600151e-05
Posterior rib fusion	Protein-losing enteropathy	5.08325315417379e-05
Alopecia universalis	Cryptozoospermia	5.3190049680399243e-05
Dacryocystitis	Decreased circulating renin level	5.060226372522096e-05
Round face	Gonadal dysgenesis with female appearance, male	5.296668428055062e-05
Weakness of the intrinsic hand muscles	Ductal carcinoma in situ	4.513091349926087e-05
Cerebellar hemangioblastoma	Palmoplantar hyperhidrosis	4.6048912897620735e-05
Prominent nose	Lymph node hypoplasia	5.818309856621895e-05
Hematochezia	Stiff shoulders	4.754448578692532e-05
Aldehyde oxidase deficiency	Increased axial length of the globe	4.325406564155514e-05
Rectal abscess	Poroma	4.5130913499260864e-05
Gingival bleeding	Male infertility	6.686862198792483e-05
Decreased motor nerve conduction velocity	Vertebral hyperostosis	5.441127930237193e-05
Delayed CNS myelination	Torus palatinus	6.411318819673063e-05
Broad nail	Perifolliculitis	0.14902525043959267
Autoimmune hemolytic anemia	High serum calcitriol	5.605677800716349e-05
Normochromic anemia	Bifid ureter	4.972512993112043e-05
Increased total bilirubin	Thyroid hypoplasia	5.125821869171633e-05
Intermittent hypothermia	Skeletal muscle fibrosis	8.650813128311028e-05
Enlarged vertebral pedicles	Mitochondrial hypertrophy	4.1527089114850486e-05
Agitation	Frequent falls	0.12808192021118253
Broad nail	Metabolic ketoacidosis	4.697961363490384e-05
Pulmonary arterial medial hypertrophy	Benign gastrointestinal tract tumors	4.1527089114850486e-05
Small intestine carcinoid	Hurthle cell thyroid adenoma	0.5560675326131824
Hyperuricosuria	Exercise-induced rhabdomyolysis	4.7877152157943535e-05
Trophic limb changes	Fixed elbow flexion	3.993272169545075e-05
Unilateral chest hypoplasia	Central posterior corneal opacity	3.993272169545075e-05
Hepatic periportal necrosis	Glucocortocoid-insensitive primary hyperaldosteronism	7.98654433909015e-05
Episodic tachypnea	Diffuse cerebellar atrophy	4.676934355271362e-05
Craniofacial disproportion	Enlarged labia minora	4.433252921306609e-05
Chorioretinal dystrophy	Anti-thyroid peroxidase antibody positivity	4.7178026931581885e-05
Rocker bottom foot	Cerebellar cortical atrophy	5.376354883792309e-05
Bilateral radial aplasia	Duodenal adenocarcinoma	4.513091349926087e-05
Gynecomastia	Type B brachydactyly	5.464135986470626e-05
Bruxism	Dysfunctional alternative complement pathway	4.885073886735671e-05
Narrow nose	Large basal ganglia	5.125821869171633e-05
Reduced pancreatic beta cells	Congenital adrenal hypoplasia	0.26572100776756163
Gingival fibromatosis	Panacinar emphysema	4.63062709617351e-05
Anhidrotic ectodermal dysplasia	Paradoxical respiration	4.2520165072717376e-05
Right ventricular failure	Decreased circulating free T3	4.433252921306609e-05
Rotary nystagmus	Myocardial steatosis	4.697961363490384e-05
Normocytic anemia	Female external genitalia in individual with 46,XY karyotype	4.676934355271362e-05
Osteomalacia	Recurrent sinopulmonary infections	5.6736828533670213e-05
Palpitations	Testicular dysgenesis	5.4444823267756216e-05
Nonketotic hyperglycinemia	Aplasia of the nose	4.325406564155514e-05
Urinary urgency	EEG with occipital focal spikes	5.035839919835104e-05
Progressive pes cavus	Anterior pituitary agenesis	4.1527089114850486e-05
Macular hypopigmentation	Renotubular dysgenesis	4.1527089114850486e-05
Fusion of the cerebellar hemispheres	T2 hypointense thalamus	0.13521908333195798
Acute otitis media	ST segment depression	7.98654433909015e-05
Aqueductal stenosis	Ochronosis	4.5130913499260864e-05
Overgrowth	Recurrent candida infections	5.4736734480720864e-05
Distal tibial bowing	Hypomature dental enamel	0.0867244279621884
Oligohydramnios	Spinocerebellar atrophy	5.8034398621410633e-05
Stiff interphalangeal joints	Perioral erythema	4.325406564155514e-05
Progressive joint destruction	Postprandial hyperglycemia	4.2520165072717376e-05
Joint swelling	Anti-dsDNA antibody positivity	4.8971417820076086e-05
Severely reduced visual acuity	Cervical kyphosis	5.460915002756528e-05
Hypoplasia of the frontal bone	Limb-girdle muscular dystrophy	0.06972864289278381
Increased blood urea nitrogen	Palmoplantar blistering	5.292067144038486e-05
Episodic paroxysmal anxiety	Nephroblastoma	5.2634344611296555e-05
Acute pancreatitis	Inferior oblique muscle overaction	4.475678658742209e-05
Fatal liver failure in infancy	Bilateral conductive hearing impairment	4.5130913499260864e-05
Vertebral compression fracture	Aplasia of the nasal bone	0.11508632609357997
Macronodular cirrhosis	Desmoid tumors	0.15379339531434827
Renal steatosis	Rib exostoses	4.63062709617351e-05
Acetabular dysplasia	Highly elevated creatine kinase	4.920200344776741e-05
Myxoid subcutaneous tumors	Punctate keratitis	4.325406564155514e-05
Intimal thickening in the coronary arteries	Aplasia of the thymus	0.20050208674782394
Episodic flaccid weakness	Joint hemorrhage	0.07478962996861582
Thick lower lip vermilion	Shortening of all metacarpals	5.314623829788136e-05
Freckles in sun-exposed areas	Weakness of the intrinsic hand muscles	4.513091349926087e-05
Deficiency or absence of cytochrome b(-245)	Hypoplasia of the epiglottis	4.676934355271362e-05
Focal segmental glomerulosclerosis	Giant platelets	5.9865931332182534e-05
Restrictive behavior	Anti-thyroid peroxidase antibody positivity	5.08325315417379e-05
Babinski sign	Recurrent Haemophilus influenzae infections	6.095555894831947e-05
Nasal congestion	Chronotropic incompetence	4.5466147121112386e-05
Severe intrauterine growth retardation	Laryngeal edema	4.63062709617351e-05
Dyscalculia	Diaphyseal thickening	4.7877152157943535e-05
Progressive macrocephaly	Macular hypopigmentation	4.63062709617351e-05
Writer's cramp	Nasal septum perforation	4.717802693158188e-05
Choroid plexus calcification	Cystic lesions of the pinnae	4.325406564155514e-05
Narrow pelvis bone	Cervix cancer	0.0001072135125263395
Rectovaginal fistula	Elongated radius	4.787715215794353e-05
Paroxysmal nocturnal hemoglobinuria	Hyperprolinemia	0.16862201291691742
Iritis	Hypoplastic left heart	5.498236436259655e-05
Hypercalciuria	Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	0.17107052054483293
Vertebral compression fracture	Exostosis of the external auditory canal	0.11508632609357997
Myelin outfoldings	Temporal lobe calcification	0.12600372846226532
Macronodular cirrhosis	Hippocampal atrophy	4.846394887683536e-05
Rib segmentation abnormalities	Subretinal exudate	4.1527089114850486e-05
Uterine prolapse	Iridocyclitis	4.63062709617351e-05
External ear malformation	Decreased Achilles reflex	4.513091349926087e-05
Hypoplasia of the thymus	Lumbar hemivertebrae	5.035839919835104e-05
Selective tooth agenesis	Morning glory anomaly	5.541250221749201e-05
Periodic hyperkalemic paralysis	Granular corneal dystrophy	4.1527089114850486e-05
Poliosis	Cerebral hypomyelination	4.982193529809303e-05
Discoid lupus rash	Decreased adiponectin level	4.384100649655963e-05
Polyneuropathy	Pulmonary artery atresia	6.519580901214069e-05
Loss of facial expression	Generalized ichthyosis	4.325406564155514e-05
Paroxysmal dystonia	Cloverleaf skull	5.232854831112207e-05
Hyperuricemia	Optic disc hypoplasia	5.7185202829471035e-05
Thickened Achilles tendon	Short hard palate	4.2520165072717376e-05
Vagal paraganglioma	Small cervical vertebral bodies	4.325406564155514e-05
Broad face	Congenital blindness	5.344453059754979e-05
Parkinsonism with favorable response to dopaminergic medication	Dilatation of renal calices	4.717802693158188e-05
Increased intramuscular fat	Methemoglobinemia	4.433252921306609e-05
Acute monocytic leukemia	Intermittent hypothermia	4.433252921306609e-05
Prominent sternum	Abnormal speech discrimination	4.952414116553883e-05
Bird-like facies	Progressive ophthalmoplegia	4.577027209409902e-05
Dysfunctional alternative complement pathway	Spinal hemangioblastoma	3.993272169545075e-05
Hypertensive retinopathy	Hypoplasia of the femoral head	4.803278487698834e-05
Hypoplasia of the lacrimal punctum	Retinal dysplasia	4.920200344776741e-05
Calcinosis	Severe postnatal growth retardation	5.376354883792309e-05
Hypoplastic philtrum	Apneic episodes in infancy	5.018735786356822e-05
Supernumerary maxillary incisor	Reticulated skin pigmentation	4.325406564155514e-05
Cubitus valgus	Anti-beta-2-Glycoprotein I IgG antibody positivity	5.068044793030368e-05
Reticulocytosis	Laryngotracheal stenosis	5.1884974814677736e-05
Decreased circulating total IgA	Keratosis pilaris	5.331903917150742e-05
Hyperkalemic metabolic acidosis	Popliteal pterygium	4.475678658742209e-05
Eyelid apraxia	Parathyroid carcinoma	4.697961363490384e-05
Renal cortical atrophy	Choroid hemorrhage	7.98654433909015e-05
Malignant hyperthermia	Fixed elbow flexion	4.697961363490384e-05
Corneal scarring	Elevated urinary prostaglandin E2 level	4.6048912897620735e-05
Median cleft lip and palate	Ascending aorta hypoplasia	4.475678658742209e-05
Coronary artery stenosis	Delayed femoral head ossification	4.2520165072717376e-05
Respiratory alkalosis	Hemifacial hypoplasia	4.7877152157943535e-05
Hyperproteinemia	Increased sputum production	7.98654433909015e-05
Mitral annular calcification	Macrothrombocytopenia	4.5466147121112386e-05
